Platform,Genre,sales
PC,Action,0.55
PS4,Action,14.92
XOne,Action,4.47
PC,Adventure,0.21
PS4,Adventure,2.22
XOne,Adventure,0.17
PC,Racing,0.12
PS4,Racing,1.22
XOne,Racing,1.49
PC,Shooter,1.92
PS4,Shooter,24.17
XOne,Shooter,11.72
PC,Sports,0.24
PS4,Sports,14.58
XOne,Sports,6.18
